EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Hennummarka skole;Lier;54;52;56;59.8213502;10.2799383
Høvik skole;Lier;51;51;53;59.760162;10.2396001
Oddevall skole;Lier;*;*;*;59.862389;10.218061
Sylling skole;Lier;46;45;42;59.89162;10.292531
Buskerud skole;Modum;44;46;45;59.896305;9.889189
Enger skole;Modum;53;52;49;59.891921;9.927209
Stalsberg skole;Modum;47;47;52;59.922573;9.963959
Sysle skole;Modum;49;53;51;59.9917586;9.9157845
Vikersund skole;Modum;47;46;45;59.9734617;9.9926433
Nesbyen skole;Nesbyen;50;47;49;0;0
Rødberg skole;Nore og Uvdal;*;*;*;60.26882;8.944285
Uvdal skole;Nore og Uvdal;*;*;*;60.270674;8.744945
Benterud skole;Ringerike;50;46;45;60.159879;10.249777
Discovery International School AS;Ringerike;*;;;0;0
Hallingby skole;Ringerike;*;49;51;60.2687919;10.1792931
Helgerud skole;Ringerike;51;48;51;60.1849;10.1955
Nes skole;Ringerike;*;*;*;60.565726;9.986816
Ringerike Montessori AS;Ringerike;*;*;*;0;0
Ringerike steinerskole Sti;Ringerike;*;*;*;0;0
Sokna skole;Ringerike;*;*;*;60.2426759;9.9310896
Steinsfjorden montessoriskole SA;Ringerike;*;*;*;0;0
Tyristrand skole;Ringerike;50;48;47;60.085273;10.102012
Ullerål skole;Ringerike;53;49;52;60.18133;10.267012
Vang skole;Ringerike;50;50;52;60.1744603;10.3226608
Veien skole;Ringerike;55;50;55;60.1755077;10.2328555
Veggli skole;Rollag;47;47;44;60.041426;9.150187
Eggedal skole;Sigdal;*;*;*;60.2399523;9.3563832
Nerstad skole;Sigdal;*;*;*;60.0019706;9.7366144
Prestfoss skole;Sigdal;43;46;46;60.041829;9.631114
Darbu barneskole;Øvre Eiker;52;47;50;59.7000285;9.8000786
Hokksund barneskole;Øvre Eiker;49;50;49;59.766659;9.9261805
Ormåsen barneskole;Øvre Eiker;51;51;54;59.7545665;9.8223181
Røren barneskole;Øvre Eiker;48;43;46;59.7706532;9.8797307
Skotselv skole;Øvre Eiker;45;46;44;59.8493134;9.8799913
Vestfossen barneskole;Øvre Eiker;51;49;52;59.729771;9.868933
Nedre-Ål skule;Ål;51;50;50;60.628525;8.550031
Nordbygdene skule;Ål;*;*;*;60.70158;8.486949
Torpo skule;Ål;*;*;*;60.665291;8.721256
Alta Kristne grunnskole SA;Alta;*;*;*;0;0
Bossekop skole;Alta;57;53;54;69.9601438;23.2423801
Elvebakken skole;Alta;47;45;39;69.9710749;23.3647513
