EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Sørarnøy skole og barnehage avd skole;Gildeskål;*;*;*;;
Grane barne- og ungdomsskole;Grane;50;48;47;;
Drag skole;Hábmer - Hamarøy;48;49;46;;
Oppeid skole;Hábmer - Hamarøy;50;50;46;;
Melbu skole;Hadsel;*;*;*;;
Stokmarknes skole;Hadsel;49;48;47;;
Strønstad skole;Hadsel;*;*;*;;
Hemnes sentralskole;Hemnes;45;46;47;;
Korgen sentralskole;Hemnes;48;47;49;;
Herøy skole;Herøy (Nordland);46;46;46;;
Leirfjord barne- og ungdomsskole;Leirfjord;46;47;45;;
Konsvik oppvekstsenter avd skole;Lurøy;*;*;*;;
Lovund skole;Lurøy;*;*;*;;
Onøy Lurøy oppvekstsenter avd skole;Lurøy;*;*;*;;
Sleneset oppvekstsenter skole;Lurøy;*;*;*;;
Lødingen skole;Lødingen;*;*;*;;
Vestbygd skole;Lødingen;*;*;*;;
Enga skole;Meløy;45;48;46;;
Glomfjord skole;Meløy;42;43;45;;
Neverdal Enspire skole AS;Meløy;53;51;51;;
Ørnes skole;Meløy;48;46;49;;
Sørvågen skole;Moskenes;*;*;*;;
Ballangen skole;Narvik;42;43;45;;
Kjøpsvik skole;Narvik;*;*;*;;
Narvik ungdomsskole;Narvik;49;50;49;;
Skjomen skole;Narvik;*;*;*;;
Nesna skole avd Nesna;Nesna;51;48;50;;
Rana ungdomsskole;Rana - Raane;*;*;*;;
Storforshei barne- og ungdomsskole;Rana - Raane;47;47;48;;
Utskarpen barne- og ungdomsskole;Rana - Raane;*;*;*;;
Jektvik skole;Rødøy;*;*;*;;
Rødøy skole;Rødøy;*;*;*;;
Tjongsfjord skole;Rødøy;*;*;*;;
Røst barne- og ungdomsskole;Røst;*;*;*;;
Rognan ungdomsskole;Saltdal;48;48;50;;
Røkland skole grunnskolen;Saltdal;52;47;52;;
Sortland ungdomsskole;Sortland - Suortá;47;48;46;;
Steigenskolen Leinesfjord;Steigen;47;45;47;;
Vik skole;Sømna;47;48;47;;
Nordsia oppvekstsenter skole;Sørfold - Fuolldá;*;*;*;;
Røsvik oppvekstsenter skole;Sørfold - Fuolldá;*;*;*;;
Straumen skole;Sørfold - Fuolldá;45;40;40;;
Husøy skole;Træna;*;*;*;;
Granmoen skole;Vefsn;48;54;48;;
Kippermoen ungdomsskole;Vefsn;49;49;49;;
Vega barne- og ungdomsskole;Vega;*;*;*;;
Ballstad skole;Vestvågøy;46;43;44;;
Bøstad skole;Vestvågøy;45;45;46;;
Leknes skole;Vestvågøy;47;47;46;;
Opdøl montessoriskole Barne og ungdomsskole;Vestvågøy;51;49;46;;
Svarholt skole;Vestvågøy;51;50;49;;
Vevelstad sentralskole;Vevelstad;*;*;*;;
Værøy skole;Værøy;*;*;*;;
Digermulen skole;Vågan;*;*;*;;
Gimsøy skole;Vågan;*;*;*;;
Henningsvær skole;Vågan;*;*;*;;
Kabelvåg skole;Vågan;48;47;49;;
Laukvik skole;Vågan;*;*;*;;
Laupstad skole;Vågan;*;*;*;;
Skrova skole;Vågan;*;*;*;;
Strauman oppvekstsenter;Vågan;*;*;*;;
Svolvær skole;Vågan;49;50;48;;
Ørsnes privatskole;Vågan;*;*;*;;
Myre skole;Øksnes;47;45;46;;
Hattfjelldal oppvekstsenter avd skole;Aarborte - Hattfjelldal;46;48;46;;
Abildsø skole;Oslo;52;52;51;;
Akademiet realfagsskole Oslo AS;Oslo;59;58;56;;
Apalløkka skole;Oslo;52;50;51;;
Bjølsen skole;Oslo;54;55;54;;
Bjørnholt ungdomsskole;Oslo;47;44;45;;
Bjørnsletta skole;Oslo;56;57;55;;
Bjøråsen skole;Oslo;49;47;46;;
Brannfjell skole;Oslo;55;57;55;;
Bøler skole;Oslo;54;55;54;;
Den Tysk-Norske skolen i Oslo Avd grunnskole Sporveisgata;Oslo;61;59;60;;
Ellingsrud skole;Oslo;49;48;50;;
Engebråten skole;Oslo;54;57;56;;
Fagerborg skole;Oslo;54;53;52;;
Frydenberg skole;Oslo;52;52;51;;
Fyrstikkalleen skole;Oslo;53;52;52;;
Granstangen skole;Oslo;49;46;46;;
Groruddalen skole;Oslo;47;43;45;;
Haugenstua skole;Oslo;50;48;49;;
Haugerud skole;Oslo;49;46;47;;
Hauketo skole;Oslo;53;51;53;;
Holmlia skole;Oslo;48;49;47;;
Hovseter skole;Oslo;54;56;56;;
Høyenhall skole;Oslo;55;55;55;;
Jordal skole;Oslo;53;51;50;;
Karlsrud skole;Oslo;55;55;54;;
Kastellet skole;Oslo;54;55;55;;
Kristelig gymnasium AS grunnskole;Oslo;55;56;55;;
Lambertseter skole;Oslo;55;53;52;;
Lindeberg skole;Oslo;52;48;51;;
Linderud skole;Oslo;47;44;42;;
